Factual ID,Name,Address,Locality (Town/City),Region (State/Province),Post Code,Country,Neighborhood,Tel,Website,Latitude,Longitude,Category Labels,Chain Name,,,,
88dc1adc-32d9-4afe-9da8-2d770a6703c6,Safeway,5290 Diamond Heights Blvd,San Francisco,CA,94131,us,"Diamond Heights,Vista del Monte",(415) 824-7744,http://www.safeway.com/,37.743754,-122.439155,"Retail,Supermarkets and Groceries",Safeway,,,,
77fd78bb-ed15-4cb4-8008-bb8379450132,Lucky,1515 Sloat Blvd,San Francisco,CA,94132,us,"Lake Shore,Westlake",(415) 681-4300,https://www.luckysupermarkets.com/,37.733092,-122.489522,"Retail,Supermarkets and Groceries",Lucky,,,,
7c59b6d6-00aa-46c7-a523-0819dcb85a64,Whole Foods,690 Stanyan St,San Francisco,CA,94117,us,"Cole Valley,Haight-Ashbury,Park View Commons,Upper Haight",(415) 876-6740,http://www.wholefoodsmarket.com,37.76943,-122.452859,"Retail,Supermarkets and Groceries",Whole Foods,,,,
fa629981-f247-4131-822d-a31e160b3ebe,Safeway,350 Bay St,San Francisco,CA,94133,us,"Fisherman's Wharf,North Beach",(415) 781-4374,http://www.safeway.com/,37.806043,-122.412808,"Retail,Supermarkets and Groceries",Safeway,,,,
ddef2730-8622-4f4e-8cd6-d6260863bee3,Trader Joe's,555 9th St,San Francisco,CA,94103,us,"SOMISSPO,South Of Market",(415) 863-1292,http://www.traderjoes.com/,37.770939,-122.407511,"Retail,Supermarkets and Groceries",Trader Joe's,,,,
83dfaa71-f48d-4cff-af44-b72ee776ba11,Real Food Company,2140 Polk St,San Francisco,CA,94109,us,"Nob Hill,Polk Gulch,Russian Hill",(415) 673-7420,http://www.RealFoofCo.com,37.796544,-122.421711,"Retail,Supermarkets and Groceries",N/A,,,,
dc9e8ab5-08fe-4bbd-881b-e0ef4b1fc260,Safeway,3350 Mission St,San Francisco,CA,94110,us,"Bernal Heights,Noe Valley,Transmission",(415) 826-2866,http://www.safeway.com/,37.743246,-122.422288,"Retail,Supermarkets and Groceries",Safeway,,,,
d098cdbe-dbf6-4ee9-a322-cbcdfcfdb547,Whole Foods,2001 Market St,San Francisco,CA,94114,us,"Duboce Triangle,Mission Dolores",(415) 626-1430,http://www.wholefoodsmarket.com,37.768692,-122.427088,"Retail,Supermarkets and Groceries",Whole Foods,,,,
49755616-0be1-4e4b-88b2-b05566b883fa,Rincon Market,98 Howard St,San Francisco,CA,94105,us,"Financial District,Rincon Hill,South Beach,South Of Market",(415) 512-8066,N/A,37.791526,-122.39245,"Retail,Supermarkets and Groceries",N/A,,,,
d3927ec0-7324-42f6-8643-0c57f226bb5f,Safeway,735 7th Ave,San Francisco,CA,94118,us,"Inner Richmond,Richmond District",(415) 683-4070,http://www.safeway.com/,37.774601,-122.465491,"Retail,Supermarkets and Groceries",Safeway,,,,
270ab625-bb4a-496b-b540-d4d359d44ba2,R Image Market,2898 Folsom St,San Francisco,CA,94110,us,"Inner Mission,Mission,Mission District",(415) 648-5400,http://r-image-market-san-francisco-ca.placestars.com,37.750992,-122.414146,"Retail,Supermarkets and Groceries",N/A,,,,
e0d46440-40c1-4377-ae4b-afbe301a4ca8,Good Life Grocery,1524 20th St,San Francisco,CA,94107,us,"Potrero District,Victoria Mews",(415) 282-9204,http://www.potrerohillpsychotherapy.com,37.760186,-122.396843,"Retail,Supermarkets and Groceries",N/A,,,,
97a07f1a-337c-4964-9a38-c72799c24e9a,Nijiya Market,1737 Post St,San Francisco,CA,94115,us,"Japantown,Laguna Heights,Little Osaka",(415) 563-1901,http://www.nijiya.com/,37.785401,-122.430299,"Retail,Supermarkets and Groceries",Nijiya Market,,,,
489d23f6-c800-4bfe-baf4-6b800e29de73,Faye's Video,3614 18th St,San Francisco,CA,94110,us,"Mission,Mission District,Mission Dolores",(415) 522-0434,http://www.fayesvideo.blogspot.com,37.761619,-122.424305,"Retail,Supermarkets and Groceries",N/A,,,,
c0215878-d3c5-48a9-b383-a2e750c6f305,Harvest Hills Market,3216 Folsom St,San Francisco,CA,94110,us,Bernal Heights,(415) 341-1515,http://www.toharvest.com,37.746735,-122.413823,"Retail,Supermarkets and Groceries",N/A,,,,
5661c451-7519-4c64-9f9f-d87e52988744,Courtney Produce,101 Castro St,San Francisco,CA,94114,us,"Castro,Duboce Triangle",(415) 626-1850,http://courtney-produce-ii-san-francisco-ca.placestars.com,37.767267,-122.435461,"Retail,Supermarkets and Groceries",N/A,,,,
58ccae61-402e-4817-92f1-f7e2372ee6e2,Roxie Food Center,1901 San Jose Ave,San Francisco,CA,94112,us,Sunnyside,(415) 587-2345,http://roxie.com,37.726674,-122.441152,"Retail,Supermarkets and Groceries",N/A,,,,
b61c6ac1-b81a-4ba1-a0f2-69be045ea744,Trader Joe's,265 Winston Dr,San Francisco,CA,94132,us,"Lakeside,Stonestown",(415) 665-1835,http://www.traderjoes.com/,37.726717,-122.476394,"Retail,Supermarkets and Groceries",Trader Joe's,,,,
0f93d976-b9bf-43ef-bc8d-3f7920fb8965,Pacific Supermarket,2900 Alemany Blvd,San Francisco,CA,94112,us,"Oceanview,Outer Mission",(415) 337-1628,http://www.pacificsupermarket.com/,37.711984,-122.452887,"Retail,Supermarkets and Groceries",N/A,,,,
08d640b0-ad1e-4322-b3cc-ef3fe84da900,Mollie Stone's Markets,2435 California St,San Francisco,CA,94115,us,Lower Pacific Heights,(415) 567-4902,http://www.molliestones.com/,37.788607,-122.434503,"Retail,Supermarkets and Groceries",Mollie Stone's Markets,,,,
7dfb6d7f-b295-4ec7-832f-9c08f7bc4509,Whole Foods,399 4th St,San Francisco,CA,94107,us,"South Beach,South Of Market",(415) 618-0066,http://www.wholefoodsmarket.com,37.781182,-122.399584,"Retail,Supermarkets and Groceries",Whole Foods,,,,
48eba7b7-74f0-4145-ba83-9c491dffd2b6,Royal Market & Bakery,5335 Geary Blvd,San Francisco,CA,94121,us,"Central Richmond,Little Russia,Richmond District",(415) 221-5550,http://royalmarketsf.com,37.780271,-122.476721,"Retail,Supermarkets and Groceries",N/A,,,,
0a81a738-1de9-4735-b7ff-17dc5bb7a735,Whole Foods,1765 California St,San Francisco,CA,94109,us,"Cathedral Hill,Laguna Heights,Little Osaka,Pacific Heights,Polk Gulch,Van Ness",(415) 674-0500,http://www.wholefoodsmarket.com,37.789904,-122.42354,"Retail,Supermarkets and Groceries",Whole Foods,,,,
ec9d87c7-265a-4505-8f96-8e88acb70ee2,Church Produce,1798 Church St,San Francisco,CA,94131,us,"Bernal Heights,Noe Valley",(415) 282-1153,http://www.groupon.com/,37.742193,-122.426668,"Retail,Supermarkets and Groceries",N/A,,,,
2549b530-30bb-4527-868d-29c4b2b67213,Sunset Supermarket,2425 Irving St,San Francisco,CA,94122,us,Central Sunset,(415) 682-3738,https://www.groupon.com/biz/san-francisco/sunset-supermaket,37.763002,-122.484217,"Retail,Supermarkets and Groceries",N/A,,,,
4895a62f-a533-409b-a1d1-ac1a60a6c918,Mayflower Market,2498 Fillmore St,San Francisco,CA,94115,us,Pacific Heights,(415) 346-1700,http://www.mayflowermarketfillmore.com/,37.792439,-122.434371,"Retail,Supermarkets and Groceries",N/A,,,,
da77c502-dd24-40bc-a738-bbe25d314b8a,Whole Foods,450 Rhode Island St,San Francisco,CA,94107,us,"Potrero District,Potrero Flats",(415) 552-1155,http://www.wholefoodsmarket.com,37.764408,-122.402754,"Retail,Supermarkets and Groceries",Whole Foods,,,,
413759ec-c2bd-4591-9fae-6eabe22ea264,Foodsco,345 Williams Ave,San Francisco,CA,94124,us,"Bayshore,Portola,Silver Terrace",(415) 330-1870,https://www.foodsco.net/stores/details/704/00351?cid=loc_70400351_other,37.729729,-122.398992,"Retail,Supermarkets and Groceries",N/A,,,,
5351dd37-0b9d-437d-ba3c-427882be73b2,R J's Market Levi Plaza,1425 Sansome St,San Francisco,CA,94111,us,"North Waterfront,Telegraph Hill",(415) 397-7160,http://rjs-market-levi-plaza-san-francisco-ca.placestars.com,37.803333,-122.403399,"Retail,Supermarkets and Groceries",N/A,,,,
ac111a36-35b1-48b0-90e6-1234d51815b7,Trader Joe's,401 Bay St,San Francisco,CA,94133,us,"Fisherman's Wharf,North Beach",(415) 351-1013,http://www.traderjoes.com/,37.80555,-122.413711,"Retail,Supermarkets and Groceries",Trader Joe's,,,,
87376b18-a99f-4e5e-8415-8a5c64ec6e1e,Safeway,1335 Webster St,San Francisco,CA,94115,us,"Thomas Paine Square,Western Addition",(415) 921-4557,http://www.safeway.com/,37.782869,-122.431368,"Retail,Supermarkets and Groceries",Safeway,,,,
032970ef-0b57-49cf-8e50-e9d3b463d8a1,Bi-Rite Market,550 Divisadero St,San Francisco,CA,94117,us,"Alamo Square,Lower Haight,North Panhandle",(415) 551-7900,http://www.biritemarket.com/,37.774876,-122.437631,"Retail,Supermarkets and Groceries",N/A,,,,
039ad62a-fd3d-480a-a204-0ad58b36703a,Trader Joe's,1095 Hyde St,San Francisco,CA,94109,us,"Lower Nob Hill,Nob Hill,Tenderloin",(415) 292-7665,http://www.traderjoes.com/,37.790627,-122.41792,"Retail,Supermarkets and Groceries",Trader Joe's,,,,
1a34b228-ee4d-4235-866e-12f08aa1208f,Trader Joe's,3 Masonic Ave,San Francisco,CA,94118,us,"Anza Vista,Laurel Heights",(415) 346-9964,http://www.traderjoes.com/,37.783341,-122.447809,"Retail,Supermarkets and Groceries",Trader Joe's,,,,
7239f8ae-a2fb-46e2-9a5f-54e6baaa342c,Casa Lucas Market,2934 24th St,San Francisco,CA,94110,us,"Inner Mission,Mission,Mission District",(415) 826-4334,http://casa-lucas-market-san-francisco-2-ca.placestars.com,37.752825,-122.410671,"Retail,Supermarkets and Groceries",N/A,,,,
524527b6-9e08-4ae8-b4c5-919a6c92a1ab,New India Bazzar Indian Grocery Store,1107 Polk St,San Francisco,CA,94109,us,"Little Saigon,Tenderloin,Van Ness",(415) 928-4553,http://new-india-bazzar-indian-grocery-store-san-francisco-ca.placestars.com,37.786968,-122.420069,"Retail,Supermarkets and Groceries",N/A,,,,
10a84cc2-ceb3-4324-90ae-a897cb5a9599,Whole Foods,1150 Ocean Ave,San Francisco,CA,94112,us,Ingleside,(415) 333-7400,http://www.wholefoodsmarket.com,37.723847,-122.455024,"Retail,Supermarkets and Groceries",Whole Foods,,,,
fe5ad0dd-858d-4e5b-a7ed-f68ef2b07fd4,Good Eggs,901 Rankin St,San Francisco,CA,94124,us,"Bayshore,Bayview District,Silver Terrace",(415) 483-7344,https://www.goodeggs.com/,37.740905,-122.395135,"Retail,Supermarkets and Groceries",N/A,,,,
c1948baf-a16c-4967-b342-009c9bf80982,Whole Foods,3950 24th St,San Francisco,CA,94114,us,"Dolores Heights,Noe Valley",(415) 282-4700,http://www.wholefoodsmarket.com,37.751977,-122.430757,"Retail,Supermarkets and Groceries",Whole Foods,,,,
59862b47-50bb-4d9c-83c6-15ed6a56b0a9,Sunset II Supermarket,2801 Vicente St,San Francisco,CA,94116,us,Outer Parkside,(415) 504-8188,https://www.groupon.com/biz/san-francisco/sunset-supermarket,37.738104,-122.497413,"Retail,Supermarkets and Groceries",N/A,,,,
12427e55-0aa1-4558-ad64-8935f17c6eab,Third World Market,1200 Fillmore St,San Francisco,CA,94115,us,"Thomas Paine Square,Western Addition",(415) 567-0165,http://third-world-market-san-francisco-ca.placestars.com,37.78094,-122.431827,"Retail,Supermarkets and Groceries",N/A,,,,
0102338d-9332-41dc-9da8-1f92d7faedd7,Vj Grocery,1199 Clay St,San Francisco,CA,94108,us,"Chinatown,French Quarter,Little Italy,Nob Hill,Union Square",(415) 885-3417,http://vj-grocery-san-francisco-ca.placestars.com,37.793383,-122.412634,"Retail,Supermarkets and Groceries",N/A,,,,
10aa65e1-b897-4a5b-b0e1-65a329bb153a,Park Plaza Fine Foods,111 Cambon Dr,San Francisco,CA,94132,us,"Stonestown,Westlake",(415) 587-7075,http://uwebconnect.com/parkplaza/,37.716737,-122.47401,"Retail,Supermarkets and Groceries",N/A,,,,
02a83da8-06f2-4cb8-a90c-fbbabf917282,Village Market,1 Ferry Building,San Francisco,CA,94111,us,"Financial District,North Waterfront,Rincon Hill,South Beach",(415) 989-9200,http://www.villagemarketsf.com/,37.795336,-122.393463,"Retail,Supermarkets and Groceries",N/A,,,,
1ad66ee9-7968-4812-aa63-0b23707f00cf,Super Save Market,4517 3rd St,San Francisco,CA,94124,us,"Bayshore,Bayview,Bayview District",(415) 282-3722,https://supersavesupermarkets.com,37.736611,-122.389723,"Retail,Supermarkets and Groceries",N/A,,,,
4b853aa1-c97a-4fc9-b60d-34f89ee119d3,Chiotras Grocery,858 Rhode Island St,San Francisco,CA,94107,us,"Potrero District,Victoria Mews",(415) 824-2353,http://www.sanfranciscobusinesslist.com,37.7589,-122.402142,"Retail,Supermarkets and Groceries",N/A,,,,
05fc78d1-e0c8-4cfb-9390-8ab4044f77f6,Mercado Brasil,1252 Valencia St,San Francisco,CA,94110,us,"Baja Noe,Mission,Mission District,Noe Valley",(415) 285-3520,http://www.mercadobrasilsf.com/,37.752822,-122.42099,"Retail,Supermarkets and Groceries",N/A,,,,
03071b81-88ec-400f-9bf8-7b323ac4dfff,Safeway,145 Jackson St,San Francisco,CA,94111,us,Financial District,(415) 982-3112,http://www.safeway.com/,37.796809,-122.398999,"Retail,Supermarkets and Groceries",Safeway,,,,
c881b44e-139b-4ecb-8ebf-ac0ae183f573,Cheers Market,867 Fillmore St,San Francisco,CA,94117,us,Alamo Square,(415) 885-2898,http://www.cheersondemand.com,37.777221,-122.43175,"Retail,Supermarkets and Groceries",N/A,,,,
8caf5968-9b1d-4b0e-a229-6facd303bc00,Nabila's Health Foods,559 Hayes St,San Francisco,CA,94102,us,"Alamo Square,Hayes Valley",(415) 864-6514,http://www.nabilas.com,37.776352,-122.425606,"Retail,Supermarkets and Groceries",N/A,,,,
a9a2b781-8ad3-4b5f-97d5-41b8d80800b6,You Say Tomato,1526 California St,San Francisco,CA,94109,us,"Lower Nob Hill,Nob Hill,Polk Gulch",(415) 921-2828,http://www.yousaytomato.biz,37.790898,-122.419513,"Retail,Supermarkets and Groceries",N/A,,,,
4e1f6cbf-0528-4865-9ce0-3bf57ab01b36,25th & Clement Produce Market,2354 Clement St,San Francisco,CA,94121,us,"Central Richmond,Richmond District,Sea Cliff",(415) 387-8222,N/A,37.782165,-122.484787,"Retail,Supermarkets and Groceries",N/A,,,,
b4e46201-01a8-4094-ab11-b213f0295bb3,Sutter Fine Foods,988 Sutter St,San Francisco,CA,94109,us,"Little Saigon,Lower Nob Hill,Nob Hill,Tenderloin",(415) 776-7079,http://suttercreek.org,37.788346,-122.416567,"Retail,Supermarkets and Groceries",N/A,,,,
8bb0b32a-ecd3-4786-b499-5fab5174867c,Jai Ho Indian Grocery,1462 Fillmore St,San Francisco,CA,94115,us,"Japantown,Marcus Garvey Square,Thomas Paine Square,Western Addition",(415) 567-1070,http://jai-ho-indian-grocery-san-francisco-ca.placestars.com,37.782912,-122.432517,"Retail,Supermarkets and Groceries",N/A,,,,
d700d5ab-0e7c-4084-804a-8e9fa6260afd,Eight-Twenty-Eight Irving Market,828 Irving St,San Francisco,CA,94122,us,"Inner Sunset,Inset",(415) 731-7460,http://eight-twenty-eight-irving-market-san-francisco-ca.placestars.com,37.764237,-122.466881,"Retail,Supermarkets and Groceries",N/A,,,,
49783025-6e25-4908-a789-9a1cc4a6c39e,Safeway,625 Monterey Blvd,San Francisco,CA,94127,us,"Sunnyside,Westwood Highlands",(415) 586-2421,http://www.safeway.com/,37.73111,-122.450226,"Retail,Supermarkets and Groceries",Safeway,,,,
8064fd10-1e18-012f-0643-0030487f54d8,Casa Guadalupe 2,2909 Mission St,San Francisco,CA,94110,us,"Bernal Heights,Inner Mission,Mission,Mission District,Transmission",(415) 642-8355,http://casaguadalupe.com,37.750399,-122.418053,"Retail,Supermarkets and Groceries",N/A,,,,
18173015-96ee-4829-abca-57498b47c396,Ming Lee Trading,759 Jackson St,San Francisco,CA,94133,us,"Chinatown,Little Italy,Nob Hill",(415) 217-0088,http://ming-lee-trading-san-francisco-ca.placestars.com,37.795819,-122.407688,"Retail,Supermarkets and Groceries",N/A,,,,
8d75d235-8332-4de0-b937-511c4016caa8,Ales Unlimited,2398 Webster St,San Francisco,CA,94115,us,Pacific Heights,(415) 346-6849,http://www.alesunlimited.com/,37.792597,-122.432732,"Retail,Supermarkets and Groceries",N/A,,,,
ee4f0255-0f39-4e3e-8afd-525c567de73e,Good Life Grocery,448 Cortland Ave,San Francisco,CA,94110,us,"Bayshore,Bernal Heights",(415) 648-3221,http://www.goodlifegrocery.com,37.738976,-122.41659,"Retail,Supermarkets and Groceries",N/A,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
