Factual ID,Name,Address,Locality (Town/City),Region (State/Province),Post Code,Country,Neighborhood,Tel,Website,Latitude,Longitude,Category Labels,Chain Name,,
0ede11d8-051c-41cb-a7cb-be2e1772a682,Dogpatch Biofuels,765 Pennsylvania Ave,San Francisco,CA,94107,us,"Dogpatch,Potrero District,Victoria Mews",(415) 642-7378,http://dogpatchbiofuels.com,37.756473,-122.392825,"Transportation,Gas Stations,Retail,Convenience Stores",N/A,,
0249cf2a-248f-4824-9208-e01ff5db11e3,7-Eleven,2222 Taraval St,San Francisco,CA,94116,us,"Parkside,Westlake",(415) 665-4747,http://www.7-eleven.com/,37.742654,-122.490093,"Retail,Convenience Stores",7-Eleven,,
60f8e9c7-7d26-41e3-ad31-7ff0ae76446f,7-Eleven,564 Market St,San Francisco,CA,94104,us,"Chinatown,Financial District,French Quarter,Union Square",(415) 956-3368,http://www.7-eleven.com/,37.789718,-122.401162,"Retail,Convenience Stores",7-Eleven,,
26246f4f-4ac6-4415-8cf0-5e7e871bc2ac,7-Eleven,5100 Geary Blvd,San Francisco,CA,94118,us,"Central Richmond,Lake,Little Russia,Richmond District",(415) 750-1711,http://www.7-eleven.com/,37.780859,-122.474176,"Retail,Convenience Stores",7-Eleven,,
00e30c01-4e33-4c59-aa8a-47575f24fcaf,7-Eleven,2000 Ocean Ave,San Francisco,CA,94127,us,"Ingleside Terrace,Mount Davidson Manor,Westlake",(415) 584-7111,http://www.7-eleven.com/,37.726546,-122.464567,"Retail,Convenience Stores",7-Eleven,,
36670536-7665-40e6-bc00-bc0731ecb138,7-Eleven,1388 46th Ave,San Francisco,CA,94122,us,"Outer Sunset,Outset",(415) 661-5577,http://www.7-eleven.com/,37.76072,-122.505785,"Retail,Convenience Stores",7-Eleven,,
5cac4617-88c9-4676-8e64-6d37b24f6fb9,7-Eleven,3998 18th St,San Francisco,CA,94114,us,"Castro,Eureka Valley,Eureka Valley Dolores Heights",(415) 255-9753,http://www.7-eleven.com/,37.761143,-122.432661,"Retail,Convenience Stores",7-Eleven,,
6ebc1c76-4d8a-4978-b824-05d19dcfe1d7,7-Eleven,2200 Bay Shore Blvd,San Francisco,CA,94134,us,"Bayshore,Visitacion Valley",(415) 468-8646,http://www.7-eleven.com/,37.712406,-122.403274,"Retail,Convenience Stores",7-Eleven,,
4335d953-b86e-4eab-b14e-8e7d02f1f7a7,Puff N Stuff,504 Castro St,San Francisco,CA,94114,us,"Castro,Eureka Valley",(415) 701-7833,http://www.puffnstuff.com,37.76079,-122.435149,"Retail,Convenience Stores,Transportation,Gas Stations",N/A,,
0b313d33-4aac-47f9-a444-959a298b365a,7-Eleven,527 Sutter St,San Francisco,CA,94102,us,"Chinatown,Civic Center,NOMA,Union Square",(415) 398-5315,http://www.7-eleven.com/,37.788951,-122.409075,"Retail,Convenience Stores",7-Eleven,,
9f2a5c13-94ff-4514-9c6e-46f422a2e23f,Gas & Shop,599 S Van Ness Ave,San Francisco,CA,94110,us,"Inner Mission,Mission,Mission District",(415) 863-6835,http://www.krispykrunchy.com/,37.763839,-122.417055,"Transportation,Gas Stations,Retail,Convenience Stores",N/A,,
2a0a294b-99e6-4d03-94e9-63e6947ba74f,7-Eleven,615 Old,San Francisco,CA,94086,us,"Braly Corners,Community Center,Sunnyvale South",(408) 735-9080,http://www.7-eleven.com/,37.367533,-122.022148,"Retail,Convenience Stores",7-Eleven,,
272c9d78-649b-4e7c-ae5e-4c7ec15636f1,7-Eleven,221 Sansome St,San Francisco,CA,94104,us,"Chinatown,Financial District,Union Square",(415) 296-5141,http://www.7-eleven.com/,37.792412,-122.401393,"Retail,Convenience Stores",7-Eleven,,
02ea441a-f0aa-41d0-8546-07f22134fb16,7-Eleven,3400 Mission St,San Francisco,CA,94110,us,"Bernal Heights,Noe Valley",(415) 695-7711,http://www.7-eleven.com/,37.742173,-122.422654,"Retail,Convenience Stores",7-Eleven,,
0309a27c-d193-4897-a784-4e9631120e54,7-Eleven,43 Drumm St,San Francisco,CA,94111,us,"Chinatown,Financial District",(415) 837-0161,http://www.7-eleven.com/,37.794332,-122.396774,"Retail,Convenience Stores",7-Eleven,,
58c6c880-c6c2-490f-9cf1-0ebe6ddec81e,7-Eleven,2650 Mason St,San Francisco,CA,94133,us,Fisherman's Wharf,(415) 391-7499,http://www.7-eleven.com/,37.807918,-122.413923,"Retail,Convenience Stores",7-Eleven,,
59bf773b-1391-490e-b7ab-9379148e2eca,7-Eleven,3080 San Jose Ave,San Francisco,CA,94112,us,Oceanview,(650) 994-9200,http://www.7-eleven.com/,37.709833,-122.457916,"Retail,Convenience Stores",7-Eleven,,
833f7a2c-576a-4927-985c-88a8a9758095,Harrison Shell,1201 Harrison St,San Francisco,CA,94103,us,South Of Market,(415) 621-5542,N/A,37.773346,-122.408513,"Transportation,Gas Stations,Retail,Convenience Stores",N/A,,
b7c724e4-bc28-43cd-aeaf-c44cf50bea35,Go Go Deli Market,99 9th St,San Francisco,CA,94103,us,"Civic Center,South Of Market",(415) 861-3536,http://go-go-market-and-deli-san-francisco-ca.placestars.com,37.776465,-122.414718,"Retail,Convenience Stores",N/A,,
6219d184-f5a0-48f5-ba9a-bacf20bd2a8a,7-Eleven,644 Mission St,San Francisco,CA,94105,us,"Financial District,French Quarter,South Beach,South Of Market,Union Square",(415) 618-0309,http://www.7-eleven.com/,37.787274,-122.40109,"Retail,Convenience Stores",7-Eleven,,
fe343c79-2d54-475b-9310-f45c5b4af440,Sunny Market,3001 Geary Blvd,San Francisco,CA,94118,us,Laurel Heights,(415) 742-4301,http://sunny-market-san-francisco-ca.placestars.com,37.781702,-122.451295,"Retail,Convenience Stores",N/A,,
26dc54cb-bcb5-4640-a66a-73c8b279f0c1,7-Eleven,4850 Geary Blvd,San Francisco,CA,94118,us,"Inner Richmond,Lake,Richmond District",(415) 831-4702,http://www.7-eleven.com/,37.781067,-122.471466,"Retail,Convenience Stores",7-Eleven,,
e11c8015-96dc-4e78-94dc-44e288a4cef1,Silver Gas & Diesel,2400 San Bruno Ave,San Francisco,CA,94134,us,"Bayshore,Portola,Silver Terrace",(415) 715-6816,http://lasvegasdiesel.com,37.732222,-122.405731,"Transportation,Gas Stations,Retail,Convenience Stores",N/A,,
1be11c1a-04f8-4fb6-93f1-445512f20d19,Lombard Valero & Food Mart,2601 Lombard St,San Francisco,CA,94123,us,"Cow Hollow,Marina District",(415) 921-1132,N/A,37.798551,-122.444554,"Transportation,Gas Stations,Retail,Convenience Stores",N/A,,
0ef0d4e4-d19d-4653-80b1-1c4ba117b53a,Stop and Go Market,40 6th St,San Francisco,CA,94103,us,"Civic Center,NOMA,South Of Market,Tenderloin",(415) 865-0292,http://www.stop-n-go.com,37.781411,-122.409849,"Retail,Convenience Stores",N/A,,
6ed9d7a3-86a7-4b3c-ab3d-9aef95c1af41,Food 24 Convenience Market,793 Divisadero St,San Francisco,CA,94117,us,"Alamo Square,North Panhandle,Western Addition",(415) 563-6118,http://food-24-convenience-market-2-san-francisco-ca.placestars.com,37.776513,-122.438445,"Retail,Convenience Stores",N/A,,
efd09d35-352f-4f6e-afd4-c119525a7f4f,Star Convenience,1 Post St,San Francisco,CA,94104,us,"Financial District,French Quarter,Union Square",(415) 951-8559,N/A,37.788791,-122.402613,"Retail,Convenience Stores",N/A,,
2f18e121-ea5c-43ba-a017-dc0e9f59ce1c,Third Ave Food Mart,4101 California St,San Francisco,CA,94118,us,"Inner Richmond,Lake,Presidio Terrace",(415) 221-4428,http://third-avenue-food-mart-san-francisco-3-ca.placestars.com,37.785227,-122.461537,"Retail,Convenience Stores",N/A,,
604cd579-74ea-4f0a-aa9e-c1649bd39b04,Save-More Market,1598 McAllister St,San Francisco,CA,94115,us,"Alamo Square,Marcus Garvey Square,Martin Luther King Square,Western Addition",(415) 567-8580,http://save-more-mkt-san-francisco-ca.placestars.com,37.777976,-122.438102,"Retail,Convenience Stores",N/A,,
87ab8e33-6819-4485-9fb9-29196d1efbf0,Kwik & Convenient,600 Monterey Blvd,San Francisco,CA,94127,us,"Sunnyside,Westwood Highlands",(415) 334-4140,N/A,37.731772,-122.449262,"Retail,Convenience Stores",N/A,,
4942eadd-1a08-477d-be64-90aac08144ae,Ampm,5898 Mission St,San Francisco,CA,94112,us,"Crocker,Outer Mission",(415) 584-2266,https://www.ampm.com/,37.709267,-122.452941,"Retail,Convenience Stores,Transportation,Gas Stations",N/A,,
8604d8a5-ff6f-4b9e-bc4b-5a8732065b76,Divisadero 99 Cents Plus Store,777 Divisadero St,San Francisco,CA,94117,us,"Alamo Square,Western Addition",(415) 567-9117,http://www.99only.com,37.776589,-122.438306,"Retail,Convenience Stores",N/A,,
5148f810-91a1-49ba-b200-becff7779a8c,Lucky 7,1838 Divisadero St,San Francisco,CA,94115,us,"Lower Pacific Heights,Pacific Heights,Zion District",(415) 567-1615,http://lucky13.com,37.786799,-122.439771,"Retail,Convenience Stores",N/A,,
7c507478-5bc5-4167-b7ee-c10ec869cced,Natural Market,2201 Pine St,San Francisco,CA,94115,us,"Japantown,Little Osaka,Lower Pacific Heights,Pacific Heights",(415) 359-9020,N/A,37.78804,-122.432104,"Retail,Convenience Stores",N/A,,
ef34484c-3b7f-4417-81df-cb6d126f37e9,Cheers On Demand,867 Fillmore St,San Francisco,CA,94117,us,"Alamo Square,Western Addition",(415) 885-2898,http://www.cheersondemand.com,37.777585,-122.4317,"Retail,Convenience Stores",N/A,,
266fdb7a-b6e8-4f74-aa22-3adf8b0efa93,Quick & Convenient,600 Monterey Blvd,San Francisco,CA,94127,us,"Sunnyside,Westwood Highlands",(415) 334-4140,N/A,37.731837,-122.449266,"Retail,Convenience Stores",N/A,,
1246cb38-267e-4e1b-a635-a2723361885e,Convenient Deli & Grocery,1201 Laguna St,San Francisco,CA,94115,us,"Laguna Heights,Malcolm X Square,Western Addition",(415) 931-2810,http://convenient-deli-and-grocery-san-francisco-ca.placestars.com,37.78214,-122.427669,"Retail,Convenience Stores",N/A,,
75acdf80-1e18-012f-0643-0030487f54d8,Oasis Convenience Store,4 Embarcadero Ctr,San Francisco,CA,94111,us,"Chinatown,Financial District,North Waterfront",(415) 834-0388,http://www.embarcaderoshop.com/,37.795043,-122.396457,"Retail,Convenience Stores",N/A,,
7ce1ad40-1e18-012f-0643-0030487f54d8,Lobby Shop,1600 Holloway Ave,San Francisco,CA,94132,us,"Lakeside,Park Merced,Stonestown,Westlake",(415) 338-2022,http://www.sfsustudentcenter.com/services/restaurants.php,37.721007,-122.477128,"Retail,Convenience Stores",N/A,,
9042568a-5b7d-4590-bca9-4b90e1293382,E Buy Store,2750 San Bruno Ave,San Francisco,CA,94134,us,"Bayshore,Portola",(415) 466-6494,http://www.ecmart.ecrater.com/,37.726924,-122.403627,"Retail,Convenience Stores",N/A,,
7fd75d3c-dd9d-4f3e-b4c5-f410b06c55c4,R C Gasoline,376 Castro St,San Francisco,CA,94114,us,"Castro,Corona Heights,Duboce Triangle,Eureka Valley",(415) 552-1191,N/A,37.762914,-122.435561,"Transportation,Gas Stations,Retail,Convenience Stores",N/A,,
32404f4c-8577-4d85-a443-1f6dfdba9ae8,Food 24 Hour Convenience,500 Clement St,San Francisco,CA,94118,us,"Inner Richmond,Richmond District",(415) 221-2231,N/A,37.7831,-122.464564,"Retail,Convenience Stores",N/A,,
8acff4ad-af52-46e7-ab46-93ce62a651a5,Cloud 9 Convenience Store,150 7th St,San Francisco,CA,94103,us,"Civic Center,South Of Market,Tenderloin",(415) 355-1022,N/A,37.778495,-122.410394,"Retail,Convenience Stores",N/A,,
6379ee09-4269-40d1-ae8d-dff3fd59ba7f,Constanso's,4120 3rd St,San Francisco,CA,94124,us,"Bayshore,Bayview,Bayview District,Bayview Heights",(415) 824-4281,N/A,37.740022,-122.389135,"Retail,Convenience Stores",N/A,,
30e5b549-66fb-45cb-a2c4-339f303c09e2,Civic Center Market,1292 Market St,San Francisco,CA,94102,us,"Civic Center,Hayes Valley,South Of Market,Tenderloin",(415) 863-8686,http://sfciviccenter.blogspot.com/,37.777966,-122.416025,"Retail,Convenience Stores",N/A,,
3b2befb5-1184-4a0d-af8d-6226f0772fda,Russell Convenience,199 Fremont St,San Francisco,CA,94105,us,"Chinatown,Financial District,Rincon Hill,South Beach,South Of Market",(415) 896-2194,http://russellsconvenience.net/,37.789818,-122.394716,"Retail,Convenience Stores",N/A,,
828481a0-1e18-012f-0643-0030487f54d8,Nob Hill,1552 Polk St,San Francisco,CA,94109,us,"Lower Nob Hill,Nob Hill,Polk Gulch,Russian Hill,Van Ness",(415) 885-8517,http://www.nobhillmotorinn.com,37.791406,-122.420547,"Retail,Convenience Stores",N/A,,
a4341afe-71c5-4803-ba38-f64e3731c9e6,Andi's Market,820 Cortland Ave,San Francisco,CA,94110,us,"Bayshore,Bernal Heights",(415) 648-4656,N/A,37.738732,-122.414211,"Retail,Convenience Stores",N/A,,
daf747fa-90a5-4577-9e2e-7bf315dc8e32,Loop Neighborhood,1200 19th Ave,San Francisco,CA,94122,us,"Golden Gate Park,Inner Sunset",(415) 661-0104,http://www.loopneighborhood.com/,37.76515,-122.477109,"Retail,Convenience Stores",N/A,,
36aa0fce-88cd-47bc-9253-aeaa9dbc14d7,Q Mart,714 Post St,San Francisco,CA,94109,us,"Little Saigon,Lower Nob Hill,Union Square",(415) 563-8850,http://www.qmartmarketplace.net,37.787784,-122.413666,"Retail,Convenience Stores,Transportation,Gas Stations",N/A,,
a422ca59-a84a-4eb3-bd56-d85e8794f576,Tsunami Market,479 Turk St,San Francisco,CA,94102,us,"Civic Center,Little Saigon,Opera Plaza,Tenderloin",N/A,http://tsunami-market-san-francisco-ca.placestars.com,37.782059,-122.416769,"Retail,Convenience Stores",N/A,,
b2ec15aa-38de-49e0-ad78-be4d6bd2df23,Loop Neighborhood,2890 3rd St,San Francisco,CA,94107,us,"Central Waterfront,Dogpatch",(415) 821-0998,http://www.loopneighborhood.com/,37.75309,-122.388326,"Retail,Convenience Stores,Transportation,Gas Stations",N/A,,
74926069-e280-447c-94c6-c6c7142a9977,Skyline News & Gifts,780 S Airport Blvd,San Francisco,CA,94128,us,Lomita Park,(650) 821-2301,N/A,37.619169,-122.384049,"Retail,Convenience Stores",N/A,,
744e8fa2-db03-4fa6-83cf-c0892ef04c50,CNBC Smartshop,Terminal 3,San Francisco,CA,94128,us,Lomita Park,(650) 821-7311,N/A,37.620479,-122.388779,"Retail,Convenience Stores",N/A,,
1b673b9c-1847-4f27-9150-3d181a7d700d,San Francisco Travel News,780 S Airport Blvd,San Francisco,CA,94128,us,Lomita Park,(650) 821-0096,N/A,37.618014,-122.385914,"Retail,Convenience Stores",N/A,,
13e409bc-9e3b-4e68-8bc3-25f53e7253cc,Smoke and Talk,3367 Mission St,San Francisco,CA,94110,us,"Bernal Heights,Bernal Heights South,Noe Valley,Transmission",(415) 875-9178,N/A,37.742818,-122.421474,"Retail,Convenience Stores",N/A,,
137df69f-7129-406a-be65-41c2c441b5d4,Andretti SpeedMart,1298 Howard St,San Francisco,CA,94103,us,"Civic Center,South Of Market",(415) 575-0290,N/A,37.775452,-122.41301,"Retail,Convenience Stores",N/A,,
39b24229-75b5-4f6f-aacd-adf2ddbb37d3,Dolores Outpost,698 Guerrero St,San Francisco,CA,94110,us,"Mission,Mission District,Mission Dolores",N/A,N/A,37.760112,-122.423499,"Retail,Convenience Stores",N/A,,
79597ac0-1e18-012f-0643-0030487f54d8,Snack Ademic,1600 Holloway Ave,San Francisco,CA,94132,us,"Lakeside,Park Merced,Stonestown,Westlake",(415) 338-2189,http://sfsustudentcenter.com/services/restaurants.php,37.720991,-122.476913,"Retail,Convenience Stores",N/A,,
49c5adba-1816-4661-9de4-57ffa4fce900,Variety Convenience Store,1546 Market St,San Francisco,CA,94102,us,"Civic Center,Hayes Valley,Intermission,Van Ness",(415) 701-8918,http://variety-convenience-store-san-francisco-ca.placestars.com,37.774891,-122.419929,"Retail,Convenience Stores",N/A,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
